s,t
9:00 - 19:00,"[{'close': {'day': 0, 'time': '1900'}, 'open': {'day': 0, 'time': '9:00'}}, {'close': {'day': 1, 'time': '1900'}, 'open': {'day': 1, 'time': '9:00'}}, {'close': {'day': 2, 'time': '1900'}, 'open': {'day': 2, 'time': '9:00'}}, {'close': {'day': 3, 'time': '1900'}, 'open': {'day': 3, 'time': '9:00'}}, {'close': {'day': 4, 'time': '1900'}, 'open': {'day': 4, 'time': '9:00'}}, {'close': {'day': 5, 'time': '1900'}, 'open': {'day': 5, 'time': '9:00'}}, {'close': {'day': 6, 'time': '1900'}, 'open': {'day': 6, 'time': '9:00'}}]"
9:30 - 18:30,"[{'close': {'day': 0, 'time': '1830'}, 'open': {'day': 0, 'time': '9:30'}}, {'close': {'day': 1, 'time': '1830'}, 'open': {'day': 1, 'time': '9:30'}}, {'close': {'day': 2, 'time': '1830'}, 'open': {'day': 2, 'time': '9:30'}}, {'close': {'day': 3, 'time': '1830'}, 'open': {'day': 3, 'time': '9:30'}}, {'close': {'day': 4, 'time': '1830'}, 'open': {'day': 4, 'time': '9:30'}}, {'close': {'day': 5, 'time': '1830'}, 'open': {'day': 5, 'time': '9:30'}}, {'close': {'day': 6, 'time': '1830'}, 'open': {'day': 6, 'time': '9:30'}}]"
Mon-Fri 12:00-7:00 (wed Off) Sat-Sun & Public Holiday 12:00-5:00,Mon-Fri12:00-7:00(wedOff)Sat-Sun&PublicHoliday12:00-5:00
每日 11:00 - 20:00,"[{'close': {'day': 0, 'time': '2000'}, 'open': {'day': 0, 'time': '每日1100'}}, {'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '每日1100'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '每日1100'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '每日1100'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '每日1100'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '每日1100'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '每日1100'}}]"
星期一 - 五 10:00 - 19:00 星期六: 10:00 - 16:00 星期日: 休息中,"[{'close': {'day': 0, 'time': '五1000'}, 'open': {'day': 0, 'time': '-1-1'}}, {'close': {'day': 1, 'time': '五1000'}, 'open': {'day': 1, 'time': '-1-1'}}, {'close': {'day': 2, 'time': '五1000'}, 'open': {'day': 2, 'time': '-1-1'}}, {'close': {'day': 3, 'time': '五1000'}, 'open': {'day': 3, 'time': '-1-1'}}, {'close': {'day': 4, 'time': '五1000'}, 'open': {'day': 4, 'time': '-1-1'}}, {'close': {'day': 5, 'time': '五1000'}, 'open': {'day': 5, 'time': '-1-1'}}, {'close': {'day': 6, 'time': '五1000'}, 'open': {'day': 6, 'time': '-1-1'}}]"
星期一 - 星期日: 12:00 - 22:30,"[{'close': {'day': 0, 'time': '-1-1'}, 'open': {'day': 0, 'time': '-1-1'}}, {'close': {'day': 1, 'time': '-1-1'}, 'open': {'day': 1, 'time': '-1-1'}}, {'close': {'day': 2, 'time': '-1-1'}, 'open': {'day': 2, 'time': '-1-1'}}, {'close': {'day': 3, 'time': '-1-1'}, 'open': {'day': 3, 'time': '-1-1'}}, {'close': {'day': 4, 'time': '-1-1'}, 'open': {'day': 4, 'time': '-1-1'}}, {'close': {'day': 5, 'time': '-1-1'}, 'open': {'day': 5, 'time': '-1-1'}}, {'close': {'day': 6, 'time': '-1-1'}, 'open': {'day': 6, 'time': '-1-1'}}]"
星期一 至 星期日( Mon-Sun),星期一至星期日(Mon-Sun)
星期一 至 星期日( Mon-Sun)  11:30AM - 20:30PM,"[{'close': {'day': 0, 'time': '2030'}, 'open': {'day': 0, 'time': '1130'}}, {'close': {'day': 1, 'time': '2030'}, 'open': {'day': 1, 'time': '1130'}}, {'close': {'day': 2, 'time': '2030'}, 'open': {'day': 2, 'time': '1130'}}, {'close': {'day': 3, 'time': '2030'}, 'open': {'day': 3, 'time': '1130'}}, {'close': {'day': 4, 'time': '2030'}, 'open': {'day': 4, 'time': '1130'}}, {'close': {'day': 5, 'time': '2030'}, 'open': {'day': 5, 'time': '1130'}}, {'close': {'day': 6, 'time': '2030'}, 'open': {'day': 6, 'time': '1130'}}]"
星期一 至 星期日(Mon-Sun)   11:00AM - 20:30PM,"[{'close': {'day': 0, 'time': '2030'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 1, 'time': '2030'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 2, 'time': '2030'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 3, 'time': '2030'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 4, 'time': '2030'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 5, 'time': '2030'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 6, 'time': '2030'}, 'open': {'day': 6, 'time': '1100'}}]"
星期一 至 星期日(Mon-Sun)  10:30AM - 20:15PM,"[{'close': {'day': 0, 'time': '2015'}, 'open': {'day': 0, 'time': '1030'}}, {'close': {'day': 1, 'time': '2015'}, 'open': {'day': 1, 'time': '1030'}}, {'close': {'day': 2, 'time': '2015'}, 'open': {'day': 2, 'time': '1030'}}, {'close': {'day': 3, 'time': '2015'}, 'open': {'day': 3, 'time': '1030'}}, {'close': {'day': 4, 'time': '2015'}, 'open': {'day': 4, 'time': '1030'}}, {'close': {'day': 5, 'time': '2015'}, 'open': {'day': 5, 'time': '1030'}}, {'close': {'day': 6, 'time': '2015'}, 'open': {'day': 6, 'time': '1030'}}]"
